num,title,download_url,description,pubdate,url,full_url
855,That’s a Weird Thing to Lie About,https://www.thisamericanlife.org/sites/default/files/audio/855/lBeKV06T9-IsJS-ck0mEybi82CB7pQEDnlf31joy6Pc/855.mp3,Unnecessary and outrageous lies that make you wonder — why lie about that in the first place?,"Fri, 28 Feb 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/855,https://www.thisamericanlife.org/855/thats-a-weird-thing-to-lie-about
854,Ten Things I Don't Want to Hate About You,https://www.thisamericanlife.org/sites/default/files/audio/854/CyyB56fGXdBY-DDzrYwhvC5Cv2H5XLUv8kY8XkUv5qw/854.mp3,Zach Mack and his dad try to mend a rift between them in a very unusual way.,"Fri, 21 Feb 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/854,https://www.thisamericanlife.org/854/ten-things-i-dont-want-to-hate-about-you
853,Groundhog Day,https://www.thisamericanlife.org/sites/default/files/audio/853/vj-773LU7sVbnMJn3t-6E5Ck7umfWzuOk_odpG4gFDE/853.mp3,"People stuck in a loop, trying to find their way out.","Fri, 31 Jan 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/853,https://www.thisamericanlife.org/853/groundhog-day
852,Pivot Point,https://www.thisamericanlife.org/sites/default/files/audio/852/ceu-1nURiuG18yaDvZvNyc9nglDvG31XAA0CqJbSjls/852.mp3,People living in that in-between moment before everything changes.,"Fri, 17 Jan 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/852,https://www.thisamericanlife.org/852/pivot-point
851,Try a Little Tenderness,https://www.thisamericanlife.org/sites/default/files/audio/851/IJgReGTNzRi_o-skNRwZZee4vWzmx9SXXH3Rg5msDNs/851.mp3,"In the new year, stories of people trying a radical approach to solving their problems.","Fri, 10 Jan 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/851,https://www.thisamericanlife.org/851/try-a-little-tenderness
850,"If You Want to Destroy My Sweater, Hold This Thread as I Walk Away",https://www.thisamericanlife.org/sites/default/files/audio/850/o5W8JS2v505sU7YDsh_fxzu9JW9mCXfOGsS2fA1-3aw/850.mp3,The tiny thing that unravels your world.,"Fri, 20 Dec 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/850,https://www.thisamericanlife.org/850/my-sweater
849,The Narrator,https://www.thisamericanlife.org/sites/default/files/audio/849/ABhEfcY8BfdI4lL_lvyzqC-P2v25Zlt1TiMsKNwkLWk/849.mp3,"Banias is an 8-year-old kid living in Gaza. And she has a story to tell — many stories, in fact.","Fri, 13 Dec 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/849,https://www.thisamericanlife.org/849/the-narrator
848,The Official Unofficial Record,https://www.thisamericanlife.org/sites/default/files/audio/848/vsZXjD6t7LeEhQF8BU4jGTEV-QzXomundcHNRfEhdfI/848.mp3,"How do you count almost 12 million votes if you’re not the government? This week, we bring you the extraordinary story of hundreds of thousands of Venezuelans who created the only verifiable public record of votes in their presidential election — and other stories of people trying to correct the official record with their own versions.","Fri, 22 Nov 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/848,https://www.thisamericanlife.org/848/the-official-unofficial-record
847,The Truly Incredible Story of Keiko the Killer Whale,https://www.thisamericanlife.org/sites/default/files/audio/847/8cX9EreCWKDWEXovWnaVs1LUqr5XxdB3Yk5GP4PxcJ0/847.mp3,"Keiko was a hugely beloved adventure park attraction. He was also captured in the wild and taken away from his mother when he was just a calf. When Hollywood learned about him, a colossal effort began to un-tame him and send him back to the ocean.","Fri, 15 Nov 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/847,https://www.thisamericanlife.org/847/the-truly-incredible-story-of-keiko-the-killer-whale
846,This Is the Cake We Baked,https://www.thisamericanlife.org/sites/default/files/audio/846/oflQq6iNLyjYDTsFOcYS-hX6WUOZD1hTCzyID_EN_wM/846.mp3,"With Donald Trump’s victory this week, many people looked at the election results and thought, yeah, this is the country I thought it was. For some people, that was a hopeful thing. For others, kind of the opposite. This week, we talked with people who helped make it happen and some who are looking to what’s next.","Fri, 08 Nov 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/846,https://www.thisamericanlife.org/846/this-is-the-cake-we-baked
845,A Small Thing That Gives Me a Tiny Shred of Hope,https://www.thisamericanlife.org/sites/default/files/audio/845/4DheE_C0SgAAid_zuPVelBcqQpTsE8mz3GqSYL1do8U/845.mp3,"A wee flame, flickering in the dark.","Fri, 01 Nov 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/845,https://www.thisamericanlife.org/845/a-small-thing
844,This Is the Case of Henry Dee,https://www.thisamericanlife.org/sites/default/files/audio/844/X55_q3XsjiVyGMvBYB-JHSvtZo7fQs3KnINMf3rGsxI/844.mp3,Thirteen parole board members decide whether or not one man should be released from prison.,"Fri, 18 Oct 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/844,https://www.thisamericanlife.org/844/this-is-the-case-of-henry-dee
843,A Little Bit of Power,https://www.thisamericanlife.org/sites/default/files/audio/843/IU4Zk3rxHjBgDdsBvXcfYUKtw8S5mf6rFra4FJTpe4o/843.mp3,"So much of the fight for the presidency is coming down to battles for small slices of voters who can help throw swing states to one candidate or another. Abbas Alawieh, a leader in the Uncommitted movement, grapples with how to get his voters the thing they want.","Fri, 11 Oct 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/843,https://www.thisamericanlife.org/843/a-little-bit-of-power
842,51 Days,https://www.thisamericanlife.org/sites/default/files/audio/842/OjBP9MAE4QRwCDZTRic5kMUeSQHtv2NXyrfBNYTxDPM/842.mp3,"Chen Almog-Goldstein was kidnapped by Hamas along with her three youngest children on October 7, 2023. This week, she tells the story of their life as hostages in Gaza.","Fri, 04 Oct 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/842,https://www.thisamericanlife.org/842/51-days
841,My Senior Year,https://www.thisamericanlife.org/sites/default/files/audio/841/jR4a6c5E4vgDWxrwf3AIEROmPQcc7tXm19AGWks40zA/841.mp3,One kid comes to America as an exchange student and commits herself to the senior year experience.,"Fri, 20 Sep 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/841,https://www.thisamericanlife.org/841/my-senior-year
840,How Are You Not Seeing This?,https://www.thisamericanlife.org/sites/default/files/audio/840/kXHkOxGN0LVbuXgUXfnB1u1CiaOcLm_BEXe9mwhqXb0/840.mp3,People trying and struggling to see what another person sees.,"Fri, 13 Sep 2024 18:00:00 -0400",https://www.thisamericanlife.org/episode/840,https://www.thisamericanlife.org/840/how-are-you-not-seeing-this
