number,name,url,description,desc_url,airdate
678,The Wannabes,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/78b47a85-ae53-41bb-aa45-42673109f693/678.mp3,"This country is crawling in presidential candidates right now and they're bumping into each other in Des Moines and yelling over each other in Miami. We hang out with them, in this weird early period of the election when they're easy to walk right up to.",https://tal.fm/678,"Sun, 07 Jul 2019 18:00:00 -0400"
678,The Wannabes,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/678.mp3,"This country is crawling in presidential candidates right now and they're bumping into each other in Des Moines and yelling over each other in Miami. We hang out with them, in this weird early period of the election when they're easy to walk right up to.",https://tal.fm/678,"Sun, 07 Jul 2019 18:00:00 -0400"
678,The Wannabes,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/678.mp3,"This country is crawling in presidential candidates right now and they're bumping into each other in Des Moines and yelling over each other in Miami. We hang out with them, in this weird early period of the election when they're easy to walk right up to.",https://tal.fm/678,"Sun, 07 Jul 2019 18:00:00 -0400"
354,Mistakes Were Made,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/354.mp3,"It’s the late 1960s, and a California TV repairman named Bob sees an opportunity to help people cheat death with the new science of cryonics. But freezing dead people isn’t easy. And apologizing for the mistakes you make along the way? Even harder.",https://tal.fm/354,"Sun, 30 Jun 2019 18:00:00 -0400"
354,Mistakes Were Made,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/354.mp3,"It’s the late 1960s, and a California TV repairman named Bob sees an opportunity to help people cheat death with the new science of cryonics. But freezing dead people isn’t easy. And apologizing for the mistakes you make along the way? Even harder.",https://tal.fm/354,"Sun, 30 Jun 2019 18:00:00 -0400"
644,Random Acts of History,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/644.mp3,Stories about people who accidentally bump into unsettling facts of history in settings meant to teach them history. What they end up learning is very different from what they’re supposed to.,https://tal.fm/644,"Sun, 23 Jun 2019 18:00:00 -0400"
644,Random Acts of History,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/644.mp3,Stories about people who accidentally bump into unsettling facts of history in settings meant to teach them history. What they end up learning is very different from what they’re supposed to.,https://tal.fm/644,"Sun, 23 Jun 2019 18:00:00 -0400"
677,Seeing Yourself In the Wild,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/677.mp3,Stories of those unexpected moments when we see who we really are.,https://tal.fm/677,"Sun, 16 Jun 2019 18:00:00 -0400"
677,Seeing Yourself In the Wild,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/677.mp3,Stories of those unexpected moments when we see who we really are.,https://tal.fm/677,"Sun, 16 Jun 2019 18:00:00 -0400"
677,Seeing Yourself In the Wild,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/2fb54647-3727-419f-9ce0-478abe3d4643/677.mp3,Stories of those unexpected moments when we see who we really are.,https://tal.fm/677,"Sun, 16 Jun 2019 18:00:00 -0400"
