number,url_count
667,4
323,4
668,4
638,4
576,4
669,3
674,3
683,3
682,3
681,3
680,3
679,3
678,3
677,3
676,3
675,3
671,3
673,3
672,3
685,3
670,3
666,3
665,3
664,3
663,3
662,3
661,3
684,3
686,3
654,3
647,3
687,3
644,3
239,3
291,3
486,3
689,3
688,3
252,3
409,2
513,2
477,2
165,2
317,2
557,2
319,2
388,2
332,2
616,2
641,2
172,2
419,2
646,2
585,2
640,2
205,2
581,2
354,2
589,2
443,2
690,2
199,2
186,2
